timestamp,IMU_B-ch1,IMU_B-ch2,IMU_B-ch3,IMU_B-ch4,IMU_B-ch5,IMU_B-ch6
45891,-2.560058594,-5.354589844,-7.940966797,2.774390244,1.18902439,-1.158536585
45892,-2.586376953,-5.352197266,-7.929003906,2.743902439,1.067073171,-1.128048781
45893,-2.545703125,-5.402441406,-7.955322266,2.469512195,0.792682927,-0.914634146
45894,-2.543310547,-5.395263672,-7.917041016,2.682926829,0.975609756,-1.097560976
45895,-2.538525391,-5.414404297,-7.960107422,3.140243902,1.402439024,-1.128048781
45896,-2.519384766,-5.328271484,-7.883544922,3.445121951,1.402439024,-0.701219512
45897,-2.519384766,-5.328271484,-7.883544922,3.445121951,1.402439024,-0.701219512
45898,-2.469140625,-5.431152344,-7.969677734,3.079268293,1.524390244,-0.487804878
45899,-2.627050781,-5.519677734,-7.883544922,4.085365854,3.262195122,-0.12195122
45900,-2.591162109,-5.498144531,-7.876367188,5,1.829268293,-0.365853659
45901,-2.478710938,-5.462255859,-7.866796875,5.213414634,0.457317073,-0.640243902
45902,-2.579199219,-5.455078125,-7.768701172,4.725609756,1.646341463,-0.12195122
45903,-2.576806641,-5.517285156,-7.766308594,3.81097561,0.609756098,-0.152439024
45904,-2.552880859,-5.490966797,-7.799804688,3.170731707,-0.030487805,-0.457317073
45905,-2.576806641,-5.47421875,-7.795019531,2.5,0.396341463,-0.640243902
45906,-2.533740234,-5.510107422,-7.835693359,1.585365854,0.152439024,-0.731707317
45907,-2.555273438,-5.500537109,-7.842871094,1.31097561,0.884146342,-0.823170732
45908,-2.593554688,-5.464648438,-7.792626953,1.036585366,1.158536585,-0.609756098
45909,-2.56484375,-5.493359375,-7.845263672,0.243902439,0.152439024,-0.640243902
45910,-2.605517578,-5.4359375,-7.814160156,-0.12195122,0.335365854,-0.670731707
45911,-2.624658203,-5.423974609,-7.835693359,-0.853658537,-0.12195122,-1.280487805
45912,-2.610302734,-5.414404297,-7.850048828,-1.37195122,-0.487804878,-2.042682927
45913,-2.586376953,-5.445507813,-7.8859375,-1.676829268,-0.731707317,-2.530487805
45914,-2.56484375,-5.433544922,-7.893115234,-1.585365854,-0.731707317,-2.652439024
45915,-2.555273438,-5.445507813,-7.871582031,-1.31097561,-0.457317073,-2.286585366
45916,-2.548095703,-5.431152344,-7.895507813,-0.975609756,-0.365853659,-1.920731707
45917,-2.586376953,-5.450292969,-7.888330078,-0.640243902,-0.152439024,-1.493902439
45918,-2.598339844,-5.471826172,-7.895507813,-0.152439024,-0.030487805,-1.280487805
45919,-2.586376953,-5.428759766,-7.864404297,0.06097561,0.030487805,-1.554878049
45920,-2.607910156,-5.4359375,-7.876367188,-0.06097561,0.304878049,-1.646341463
45921,-2.531347656,-5.416796875,-7.869189453,-0.335365854,0,-1.646341463
45922,-2.540917969,-5.469433594,-7.950537109,-0.518292683,0.243902439,-1.920731707
45923,-2.650976563,-5.479003906,-7.864404297,0.365853659,1.768292683,-1.463414634
45924,-2.531347656,-5.47421875,-7.859619141,0.823170732,0.548780488,-1.37195122
45925,-2.485888672,-5.426367188,-7.878759766,1.25,0.914634146,-0.823170732
45926,-2.631835938,-5.433544922,-7.840478516,1.067073171,1.859756098,0.030487805
45927,-2.593554688,-5.414404297,-7.859619141,0.792682927,0.487804878,0.091463415
45928,-2.612695313,-5.404833984,-7.897900391,0.670731707,1.006097561,0.12195122
45929,-2.665332031,-5.385693359,-7.871582031,0.426829268,0.945121951,-0.152439024
45930,-2.593554688,-5.423974609,-7.945751953,0.06097561,0.365853659,-0.670731707
45931,-2.653369141,-5.340234375,-7.852441406,0.365853659,1.493902439,-0.579268293
45932,-2.670117188,-5.359375,-7.893115234,-0.030487805,1.097560976,-0.396341463
45933,-2.655761719,-5.373730469,-7.943359375,-0.091463415,0.945121951,-0.243902439
45934,-2.655761719,-5.32109375,-7.921826172,0,1.341463415,-0.640243902
45935,-2.662939453,-5.323486328,-7.907470703,-0.091463415,1.646341463,-1.280487805
45936,-2.6796875,-5.364160156,-7.957714844,-0.518292683,1.798780488,-1.920731707
45937,-2.631835938,-5.349804688,-7.948144531,-0.152439024,1.31097561,-2.469512195
45938,-2.615087891,-5.388085938,-7.948144531,0.12195122,1.128048781,-2.469512195
45939,-2.619873047,-5.366552734,-7.938574219,0.579268293,1.158536585,-2.225609756
45940,-2.610302734,-5.402441406,-7.952929688,0.762195122,0.792682927,-2.042682927
45941,-2.552880859,-5.383300781,-7.921826172,1.158536585,0.823170732,-2.256097561
45942,-2.519384766,-5.371337891,-7.926611328,1.341463415,1.554878049,-2.408536585
45943,-2.531347656,-5.306738281,-7.902685547,1.219512195,2.073170732,-2.347560976
45944,-2.461962891,-5.345019531,-7.969677734,0.548780488,1.524390244,-1.981707317
45945,-2.540917969,-5.469433594,-8.034277344,0.487804878,1.920731707,-2.012195122
45946,-2.631835938,-5.457470703,-7.960107422,1.646341463,2.103658537,-1.554878049
45947,-2.447607422,-5.407226563,-7.950537109,2.347560976,-0.213414634,-1.646341463
45948,-2.536132813,-5.376123047,-7.881152344,2.56097561,0.335365854,-1.097560976
45949,-2.591162109,-5.392871094,-7.871582031,2.256097561,-0.06097561,-0.945121951
45950,-2.560058594,-5.409619141,-7.888330078,1.829268293,-1.280487805,-1.554878049
45951,-2.617480469,-5.371337891,-7.862011719,1.615853659,-0.884146342,-2.103658537
45952,-2.5265625,-5.428759766,-7.902685547,0.975609756,-1.524390244,-2.5
45953,-2.485888672,-5.428759766,-7.92421875,0.792682927,-1.18902439,-2.743902439
45954,-2.552880859,-5.407226563,-7.857226563,0.914634146,0.152439024,-2.103658537
45955,-2.516992188,-5.428759766,-7.914648438,0.670731707,-0.335365854,-1.615853659
45956,-2.524169922,-5.423974609,-7.914648438,0.792682927,0.457317073,-0.945121951
45957,-2.557666016,-5.426367188,-7.895507813,1.036585366,0.823170732,-0.884146342
45958,-2.550488281,-5.400048828,-7.864404297,0.975609756,0.579268293,-1.036585366
45959,-2.576806641,-5.440722656,-7.878759766,0.731707317,0.304878049,-1.219512195
45960,-2.591162109,-5.469433594,-7.902685547,0.762195122,-0.182926829,-1.219512195
45961,-2.560058594,-5.39765625,-7.878759766,1.036585366,-0.731707317,-1.128048781
45962,-2.619873047,-5.431152344,-7.859619141,0.762195122,-0.945121951,-0.731707317
45963,-2.622265625,-5.464648438,-7.873974609,0.762195122,-1.067073171,-0.609756098
45964,-2.643798828,-5.380908203,-7.857226563,0.945121951,-0.853658537,-0.823170732
45965,-2.694042969,-5.347412109,-7.833300781,0.457317073,-0.609756098,-1.067073171
45966,-2.612695313,-5.342626953,-7.854833984,-0.335365854,-0.884146342,-1.097560976
45967,-2.612695313,-5.342626953,-7.854833984,-0.335365854,-0.884146342,-1.097560976
45968,-2.691650391,-5.445507813,-7.917041016,-0.884146342,0.152439024,-1.37195122
45969,-2.777783203,-5.443115234,-7.902685547,-0.030487805,0.853658537,-1.402439024
45970,-2.622265625,-5.388085938,-7.907470703,0.670731707,-0.396341463,-1.768292683
45971,-2.650976563,-5.376123047,-7.862011719,1.006097561,0.579268293,-1.432926829
45972,-2.725146484,-5.407226563,-7.854833984,1.219512195,0.975609756,-1.067073171
45973,-2.643798828,-5.388085938,-7.907470703,1.280487805,0.243902439,-1.128048781
45974,-2.686865234,-5.371337891,-7.852441406,1.432926829,1.280487805,-1.067073171
45975,-2.655761719,-5.378515625,-7.850048828,0.975609756,1.37195122,-1.18902439
45976,-2.600732422,-5.419189453,-7.912255859,0.670731707,1.25,-1.737804878
45977,-2.686865234,-5.390478516,-7.890722656,1.097560976,2.408536585,-1.737804878
45978,-2.607910156,-5.392871094,-7.900292969,0.853658537,1.524390244,-1.768292683
45979,-2.591162109,-5.39765625,-7.929003906,1.158536585,1.676829268,-1.280487805
45980,-2.619873047,-5.388085938,-7.912255859,1.31097561,2.103658537,-1.036585366
45981,-2.603125,-5.385693359,-7.890722656,1.067073171,1.615853659,-1.37195122
45982,-2.598339844,-5.440722656,-7.921826172,1.097560976,1.493902439,-1.432926829
45983,-2.579199219,-5.419189453,-7.878759766,1.37195122,1.128048781,-1.585365854
45984,-2.593554688,-5.412011719,-7.873974609,1.524390244,1.128048781,-1.25
45985,-2.605517578,-5.423974609,-7.895507813,1.432926829,0.945121951,-1.036585366
45986,-2.607910156,-5.450292969,-7.888330078,1.402439024,0.457317073,-1.036585366
45987,-2.598339844,-5.400048828,-7.818945313,1.402439024,0.304878049,-1.31097561
45988,-2.627050781,-5.431152344,-7.862011719,0.853658537,0.030487805,-1.463414634
45989,-2.550488281,-5.352197266,-7.854833984,0.091463415,-0.426829268,-1.31097561
45990,-2.560058594,-5.421582031,-7.917041016,-0.792682927,-0.579268293,-1.676829268
45991,-2.684472656,-5.502929688,-7.900292969,-0.213414634,0.884146342,-1.402439024
45992,-2.610302734,-5.471826172,-7.862011719,0.579268293,-0.182926829,-1.493902439
45993,-2.560058594,-5.409619141,-7.876367188,1.158536585,-0.091463415,-1.067073171
45994,-2.667724609,-5.433544922,-7.830908203,1.280487805,0.457317073,-0.457317073
45995,-2.631835938,-5.400048828,-7.852441406,1.036585366,-0.731707317,-0.609756098
45996,-2.658154297,-5.414404297,-7.862011719,0.731707317,-0.274390244,-0.853658537
45997,-2.691650391,-5.359375,-7.850048828,0.304878049,-0.06097561,-1.25
45998,-2.615087891,-5.390478516,-7.900292969,-0.304878049,-0.335365854,-1.676829268
45999,-2.667724609,-5.409619141,-7.876367188,-0.12195122,0.670731707,-1.768292683
46000,-2.674902344,-5.383300781,-7.866796875,0.030487805,0.518292683,-1.676829268
46001,-2.617480469,-5.409619141,-7.926611328,0.213414634,0.12195122,-1.18902439
46002,-2.670117188,-5.366552734,-7.902685547,0.548780488,0.640243902,-0.975609756
46003,-2.670117188,-5.356982422,-7.890722656,0.579268293,0.579268293,-1.128048781
46004,-2.672509766,-5.359375,-7.919433594,0.579268293,0.335365854,-1.463414634
46005,-2.646191406,-5.354589844,-7.917041016,0.701219512,0.213414634,-1.646341463
46006,-2.672509766,-5.404833984,-7.907470703,0.792682927,0.06097561,-1.615853659
46007,-2.653369141,-5.380908203,-7.914648438,1.158536585,-0.274390244,-1.768292683
46008,-2.689257813,-5.373730469,-7.866796875,1.31097561,-0.243902439,-1.585365854
46009,-2.655761719,-5.39765625,-7.864404297,1.097560976,-0.670731707,-1.554878049
46010,-2.667724609,-5.373730469,-7.840478516,1.128048781,-0.304878049,-1.737804878
46011,-2.698828125,-5.409619141,-7.859619141,0.914634146,-0.091463415,-1.707317073
46012,-2.6796875,-5.297167969,-7.826123047,0.609756098,-0.335365854,-1.493902439
